,gov,cpi
1947-01-01,-1.363063312645529,-1.4068923789112766
1947-04-01,-1.374820197794529,-1.3829721951936245
1947-07-01,-1.4160565464190014,-1.3725719205758353
1947-10-01,-1.4144219359095547,-1.3424411520865362
1948-01-01,-1.4062887240208553,-1.3093838385361356
1948-04-01,-1.3980068805025105,-1.3034890846247866
1948-07-01,-1.3876705958190492,-1.2794315162527843
1948-10-01,-1.3870347331439579,-1.2831268602239088
1949-01-01,-1.3561571366626026,-1.2955442383187785
1949-04-01,-1.357082063505171,-1.2992997194695093
1949-07-01,-1.3651341355019357,-1.308539600410855
1949-10-01,-1.3461406996887462,-1.309806225026048
1950-01-01,-1.3402595227290615,-1.3165887859999623
1950-04-01,-1.3517498113303117,-1.3106515336139988
1950-07-01,-1.3399562626812487,-1.29304839675696
1950-10-01,-1.345327443569917,-1.275341531001259
1951-01-01,-1.2956715015127354,-1.240053186265699
1951-04-01,-1.3145095970200842,-1.2189997770678667
1951-07-01,-1.3118527688889992,-1.219385653977922
1951-10-01,-1.2972197890293078,-1.2097831219629427
1952-01-01,-1.3105760684946173,-1.198758490247632
1952-04-01,-1.29828562896355,-1.198380489865131
1952-07-01,-1.29017512780867,-1.1901004275045177
1952-10-01,-1.2756641333268104,-1.1897256851355076
1953-01-01,-1.2883496961637655,-1.1916008028797522
1953-04-01,-1.2845175397208264,-1.1897256851355076
1953-07-01,-1.2881577391615444,-1.1859859649954232
1953-10-01,-1.2820344900256053,-1.1800313511969343
1954-01-01,-1.2716913698724062,-1.1804024775697224
1954-04-01,-1.2671703110271708,-1.1833764574568488
1954-07-01,-1.2597736198441094,-1.1833764574568488
1954-10-01,-1.250396084897254,-1.1886022998834957
1955-01-01,-1.2395503903491116,-1.1867327910196792
1955-04-01,-1.2159709971857167,-1.1859859649954232
1955-07-01,-1.2088535294168525,-1.1871064132919127
1955-10-01,-1.197044103372249,-1.1848667706984082
1956-01-01,-1.183815015750739,-1.184493984114408
1956-04-01,-1.1672658706454868,-1.1807737417284332
1956-07-01,-1.1621763694566618,-1.1674943138316936
1956-10-01,-1.1587977025041072,-1.1594650736154573
1957-01-01,-1.1372753502373798,-1.1536658547531058
1957-04-01,-1.1301210086323419,-1.1443132685948552
1957-07-01,-1.1230988519088219,-1.1350473434259194
1957-10-01,-1.110405145467925,-1.1304463797264215
1958-01-01,-1.099061358702643,-1.1192103064594958
1958-04-01,-1.0898891587146378,-1.1087899273486026
1958-07-01,-1.081814799792352,-1.1105191340737965
1958-10-01,-1.0756657241805114,-1.1098270925236857
1959-01-01,-1.076752680809268,-1.1063740504186277
1959-04-01,-1.0785409641455366,-1.1074087116594042
1959-07-01,-1.0789301449249185,-1.1015597357554392
1959-10-01,-1.078229728537671,-1.094722102277835
1960-01-01,-1.0793973618778185,-1.0940409033414116
1960-04-01,-1.0804883844299322,-1.0882693714487068
1960-07-01,-1.0681669452744753,-1.0879309046998333
1960-10-01,-1.0569850871720603,-1.0811855165603017
1961-01-01,-1.0606475359477443,-1.0781648732163802
1961-04-01,-1.0576707753631864,-1.0791707408619606
1961-07-01,-1.0619478765141896,-1.075487495445664
1961-10-01,-1.0577469919708222,-1.0734841558774888
1962-01-01,-1.0524258087575422,-1.0714848216560067
1962-04-01,-1.0469065719745494,-1.06584165315336
1962-07-01,-1.0426931882678718,-1.0655106917073471
1962-10-01,-1.0408179298703746,-1.0602301513843138
1963-01-01,-1.0224033911171344,-1.0582571155584555
1963-04-01,-1.0231393887951659,-1.056943917733495
