,gov,pce,inv
1947-01-01,-1.363063312645529,-1.262187682356196,-1.2362212785246238
1947-04-01,-1.374820197794529,-1.2542586569318601,-1.1992376040717807
1947-07-01,-1.4160565464190014,-1.2358018285130488,-1.1745386547272845
1947-10-01,-1.4144219359095547,-1.211162659651582,-1.1542155567101182
1948-01-01,-1.4062887240208553,-1.2001236661591896,-1.1443297795679652
1948-04-01,-1.3980068805025105,-1.1898489105031143,-1.1227385500659781
1948-07-01,-1.3876705958190492,-1.1746716881080403,-1.0928643512105807
1948-10-01,-1.3870347331439579,-1.1778478063886308,-1.0821187420490186
1949-01-01,-1.3561571366626026,-1.1857523547119175,-1.0839113235565878
1949-04-01,-1.357082063505171,-1.1918631721517952,-1.0853013388388932
1949-07-01,-1.3651341355019357,-1.1976870177801175,-1.0961985650566604
1949-10-01,-1.3461406996887462,-1.198498574390153,-1.0998379210341214
1950-01-01,-1.3402595227290615,-1.2001236661591896,-1.100014355298113
1950-04-01,-1.3517498113303117,-1.195337221293165,-1.0840270843948256
1950-07-01,-1.3399562626812487,-1.1746716881080403,-1.056396601929256
1950-10-01,-1.345327443569917,-1.1569915827405532,-1.0378202163563208
1951-01-01,-1.2956715015127354,-1.1257078846473756,-1.0053032149092394
1951-04-01,-1.3145095970200842,-1.117737917647673,-0.9903284236112837
1951-07-01,-1.3118527688889992,-1.1163908137169716,-0.9825581319824579
1951-10-01,-1.2972197890293078,-1.1032400613939748,-0.972411571481985
1952-01-01,-1.3105760684946173,-1.098968124426631,-0.96786610911031
1952-04-01,-1.29828562896355,-1.0991886396982071,-0.9633925189267765
1952-07-01,-1.29017512780867,-1.0926672756815612,-0.9615472162349201
1952-10-01,-1.2756641333268104,-1.0909888719599334,-0.9633412145120204
1953-01-01,-1.2883496961637655,-1.0872772123733276,-0.9621106975396896
1953-04-01,-1.2845175397208264,-1.0858254118860402,-0.9564391701893382
1953-07-01,-1.2881577391615444,-1.080399855118284,-0.9486234584593416
1953-10-01,-1.2820344900256053,-1.0760805049430697,-0.9509516303784697
1954-01-01,-1.2716913698724062,-1.0710647305983514,-0.9501918481461495
1954-04-01,-1.2671703110271708,-1.0724236694049147,-0.9465024597852065
1954-07-01,-1.2597736198441094,-1.075721399829145,-0.946603357777422
1954-10-01,-1.250396084897254,-1.076727219297518,-0.9457964587473087
1955-01-01,-1.2395503903491116,-1.073497821822993,-0.9451413323600808
1955-04-01,-1.2159709971857167,-1.0724952436811503,-0.9385635174752847
1955-07-01,-1.2088535294168525,-1.0685662462347816,-0.9266236711396876
1955-10-01,-1.197044103372249,-1.065860655406679,-0.9138477123890274
1956-01-01,-1.183815015750739,-1.061745131255345,-0.8935483347771886
1956-04-01,-1.1672658706454868,-1.0550405646959389,-0.8827461644984491
1956-07-01,-1.1621763694566618,-1.0453110230641394,-0.866269625871154
1956-10-01,-1.1587977025041072,-1.03947686288482,-0.8588943112278984
1957-01-01,-1.1372753502373798,-1.0305143761423867,-0.8494190552033731
1957-04-01,-1.1301210086323419,-1.0242198835481053,-0.8449427310979809
1957-07-01,-1.1230988519088219,-1.0161364241195643,-0.8382203220612543
1957-10-01,-1.110405145467925,-1.0109405556198854,-0.834109272924628
1958-01-01,-1.099061358702643,-0.9986991906764238,-0.8420756392302255
1958-04-01,-1.0898891587146378,-0.9968393429134825,-0.8376772373266896
1958-07-01,-1.081814799792352,-0.9961096337696902,-0.8360949227489409
1958-10-01,-1.0756657241805114,-0.9965075909282217,-0.8342445329622561
1959-01-01,-1.076752680809268,-0.9896978723715915,-0.8328477273642094
1959-04-01,-1.0785409641455366,-0.9856210650417765,-0.8285793049151668
1959-07-01,-1.0789301449249185,-0.9796020740211828,-0.8254457690685415
1959-10-01,-1.078229728537671,-0.9741379350113863,-0.8236595758634437
1960-01-01,-1.0793973618778185,-0.9728413383953773,-0.822232914899216
1960-04-01,-1.0804883844299322,-0.9676716984491565,-0.8204969192706097
1960-07-01,-1.0681669452744753,-0.9638761391947059,-0.82071931446779
1960-10-01,-1.0569850871720603,-0.9595193921700806,-0.8221883645238721
1961-01-01,-1.0606475359477443,-0.9576671258084213,-0.8241058251456943
1961-04-01,-1.0576707753631864,-0.9577309399815706,-0.8233473198109458
1961-07-01,-1.0619478765141896,-0.9541636027801759,-0.8236595758634437
1961-10-01,-1.0577469919708222,-0.9530831743170083,-0.8235703498986289
1962-01-01,-1.0524258087575422,-0.9487730960214922,-0.8228122504621118
1962-04-01,-1.0469065719745494,-0.9452375155975474,-0.8219211039432164
